year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1978,1979,51,CINEMATOGRAPHY,William A. Fraker,Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,CINEMATOGRAPHY,Robert Surtees,"Same Time, Next Year",FALSE,"1978Same Time, Next Year",tt0078199,https://www.imdb.com/title/tt0078199/
1978,1979,51,CINEMATOGRAPHY,Oswald Morris,The Wiz,FALSE,1978The Wiz,tt0078504,https://www.imdb.com/title/tt0078504/
1978,1979,51,COSTUME DESIGN,Renie Conley,Caravans,FALSE,1978Caravans,tt0077296,https://www.imdb.com/title/tt0077296/
1978,1979,51,COSTUME DESIGN,Patricia Norris,Days of Heaven,FALSE,1978Days of Heaven,tt0077405,https://www.imdb.com/title/tt0077405/
1978,1979,51,COSTUME DESIGN,Anthony Powell,Death on the Nile,TRUE,1978Death on the Nile,tt0077413,https://www.imdb.com/title/tt0077413/
1978,1979,51,COSTUME DESIGN,Paul Zastupnevich,The Swarm,FALSE,1978The Swarm,tt0078350,https://www.imdb.com/title/tt0078350/
1978,1979,51,COSTUME DESIGN,Tony Walton,The Wiz,FALSE,1978The Wiz,tt0078504,https://www.imdb.com/title/tt0078504/
1978,1979,51,DIRECTING,Hal Ashby,Coming Home,FALSE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,DIRECTING,Michael Cimino,The Deer Hunter,TRUE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,DIRECTING,"Warren Beatty, Buck Henry",Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
1978,1979,51,DIRECTING,Woody Allen,Interiors,FALSE,1978Interiors,tt0077742,https://www.imdb.com/title/tt0077742/
1978,1979,51,DIRECTING,Alan Parker,Midnight Express,FALSE,1978Midnight Express,tt0077928,https://www.imdb.com/title/tt0077928/
